identifiant;circonscription;nom;parti_sigle;parti;semaines_presence;commission_presences;amendements_signes;amendements_adoptes
PA332614;1;régis juanico;SOC;Parti communiste français;28;64;3819;143
PA721158;4;pieyre-alexandre anglade;LREM;La République en Marche;30;25;389;195
PA606639;9;patrick vignal;LREM;La République en Marche;13;6;1375;283
PA719850;6;cendra motin;LREM;La République en Marche;38;72;511;203
PA720790;1;romain grau;LREM;La République en Marche;23;13;346;188
PA721968;8;michel vialay;LR;Les Républicains;19;9;1502;32
PA1008;4;alain david;SOC;Parti socialiste;29;37;3686;132
PA720806;3;laurence gayte;LREM;La République en Marche;20;35;541;222
PA721984;1;philippe latombe;MODEM;Mouvement Démocrate;32;29;687;132
PA2960;4;éric woerth;LR;Les Républicains;43;104;568;25
PA720590;8;benoit potterie;AE;La République en Marche;32;43;747;145
PA719456;9;sandrine mörch;LREM;La République en Marche;22;35;1174;279
PA719472;1;jean-rené cazeneuve;LREM;La République en Marche;34;74;416;207
PA336175;2;sylvia pinel;LT;Parti radical de gauche;23;26;2361;85
PA721608;12;jean-louis bourlanges;MODEM;Mouvement Démocrate;28;47;553;114
PA719230;4;yannick kerlogot;LREM;La République en Marche;28;31;763;254
PA720538;15;jennifer de temmerman;LT;Non rattachée;27;16;1644;76
PA720286;6;caroline fiat;LFI;La France Insoumise;26;25;5417;37
PA721506;4;brigitte kuster;LR;Les Républicains;35;26;4303;114
PA719108;4;raphaël gérard;LREM;La République en Marche;22;32;764;253
PA720298;2;émilie cariou;NI;La République en Marche;38;41;1374;137
PA721286;10;alain ramadier;LR;Les Républicains;31;32;3121;63
PA720190;2;bertrand sorre;LREM;La République en Marche;27;27;651;228
PA720202;4;sonia krimi;LREM;La République en Marche;22;21;614;191
PA721150;3;alexandre holroyd;LREM;La République en Marche;27;28;398;205
PA718784;7;éric pauget;LR;Les Républicains;29;44;3107;50
PA722344;2;hubert julien-laferrière;NI;La République en Marche;26;32;1531;121
PA719952;2;jean-michel mis;LREM;La République en Marche;32;44;776;254
PA718794;1;danièle hérin;LREM;La République en Marche;25;50;926;342
PA2377;9;bernard perrut;LR;Les Républicains;31;38;4949;79
PA720932;7;dominique da silva;LREM;La République en Marche;28;39;452;207
PA720944;9;zivka park;LREM;La République en Marche;25;39;466;208
PA719842;1;mustapha laabid;LREM;La République en Marche;28;27;827;171
PA719858;7;monique limon;LREM;La République en Marche;29;71;593;274
PA721976;9;bruno millienne;MODEM;Mouvement Démocrate;38;37;539;111
PA719592;5;benoit simian;LT;La République en Marche;19;19;1313;177
PA720814;4;sébastien cazenove;LREM;La République en Marche;23;22;569;191
